Segment from Mtunzini,Repeater from Mtunzini,Distance from Mtunzini,Span length Mtunzini,Vrmtz,Vrmtzcum,PFE Out from Mtunzini,PFE Out Mtunzini_SG,PFE Out Mtunzini_OG,Segment from Zafarana,Repeater from Zafarana,Distance from Zafarana,Span length Zafarana,Vrzaf,Vrzafcum,PFE Out from Zafarana,PFE Out Zafarana_SG,PFE Out Zafarana_OG,Segment from Mumbai,Repeater from Mumbai,Distance from Mumbai,Span length Mumbai,Vrmum,Vrmumcum,PFE Out from Mumbai,PFE Out Mumbai_SG,PFE Out Mumbai_OG,Segment from Mombasa,Repeater from Mombasa,Distance from Mombasa,Span length Mombasa,Vrmom,Vrmomcum,PFE Out from Mombasa,PFE Out Mombasa_SG,PFE Out Mombasa_OG,Segment from Maputo,Repeater from Maputo,Distance from Maputo,Span length Maputo,Vrmpt,Vrmptcum,PFE Out from Maputo,PFE Out Maputo_SG,PFE Out Maputo_OG
Seg1,Mutunzini CLS,0,0,0,0,0,1.28,5.76,Seg17,Zafrana TS,0,0,1.35 ohm/km,0,0,1.28,5.76,Seg11,Mumbai CLS,0,0,0,0,0,11.8,13,Seg8,Mombasa TS,0,0,0,0,0,4,5,Seg2,Maputo CLS,0,0,0,0,0,11.8,12.8
Seg1,Repeater X1S.RT001,89.176,89.176,11.9,11.9,68.97,70.25,74.73,Seg17,Beach Manhole Zafarana,5.23,5.23,,0,4.51,5.79,10.27,Seg11,Mumbai BMH,1.87,1.87,0,0,1.61,13.41,14.61,Seg8,8S.RT001,65.45,65.45,18.1,18.1,59.988,63.91437696,64.91437696,Seg2,Maputo BMH,0.366,0.366,0,0,0.29,12.09,13.09
Seg1,Repeater X1S.RT002,196.391,107.215,11.9,23.8,149.49,150.77,155.25,Seg17,Repeater 17HRT001,33.05,27.82,12.2,12.2,34.52,35.8,40.28,Seg11,Repeater (11S.RT020X),71.53,69.66,24,24,70.19,81.99,83.19,Seg8,8S.RT002,135.442,69.992,18.1,36.2,122.88288,126.0934528,127.0934528,Seg2,X2S.RT001,98.655,98.289,11.9,11.9,74.61248544,86.41248544,87.41248544
Seg1,Repeater X1S.RT003,306.668,110.277,11.9,35.7,231.97,233.25,237.73,Seg17,Repeater 17H.RT002,104.57,71.52,12.2,24.4,92.49,93.77,98.25,Seg11,Repeater (11S.RT019),142.847,71.317,24,48,139.83,151.63,152.83,Seg8,BU4 (+) ,179.906,44.464,24,60.2,175.33984,177.5739424,178.5739424,Seg2,X2S.RT002,207.155,108.5,11.9,23.8,155.8455702,167.6455702,168.6455702
Seg1,Repeater X1S.RT004L,415.727,109.059,11.9,47.6,313.67,314.95,319.43,Seg17,Repeater 17H.RT003,176.31,71.74,12.2,36.6,150.61,151.89,156.37,Seg11,Repeater (11S.RT018),214.658,71.811,24,72,209.79,221.59,222.79,Seg8,,,,,,,,,,Branching Unit,251.771,44.616,24,47.8,207.9906051,219.7906051,220.7906051
Seg1,BU1,465.723,49.996,0,47.6,345.66,346.94,351.42,Seg17,Repeater 17H.RT004,248.49,72.18,12.2,48.8,209,210.28,214.76,Seg11,Repeater (11S.RT017X),285.757,71.099,24,96,279.29,291.09,292.29,,,,,,,,,,,,,,,,,,
Seg3,BU1,465.723,0,61.3,108.9,406.96,408.24,412.72,Seg17,Repeater 17H.RT005,319.49,71,12.2,61,266.64,267.92,272.4,Seg11,Repeater (11S.RT016),356.687,70.93,24,120,348.69,360.49,361.69,,,,,,,,,,,,,,,,,,
Seg3,X3S.RT001,486.936,21.213,11.9,120.8,432.44,433.72,438.2,Seg17,Repeater 17H.RT006,390.49,71,12.2,73.2,324.28,325.56,330.04,Seg11,Repeater (11S.RT015),428.584,71.897,24,144,418.7,430.5,431.7,,,,,,,,,,,,,,,,,,
Seg3,X3S.RT002,590.842,103.906,11.9,132.7,510.84,512.12,516.6,Seg17,Repeater 17H.RT007,461.49,71,12.2,85.4,381.92,383.2,387.68,Seg11,Repeater (11S.RT014),499.951,71.367,24,168,488.38,500.18,501.38,,,,,,,,,,,,,,,,,,
Seg3,X3S.RT003,697.357,106.515,11.9,144.6,590.91,592.19,596.67,Seg17,Repeater 17H.RT008,532.49,71,12.2,97.6,439.56,440.84,445.32,Seg11,Repeater (11S.RT013),569.359,69.408,24,192,556.8,568.6,569.8,,,,,,,,,,,,,,,,,,
